"Laikotarpis","Rodiklis","Statinių pagal tipą klasifikatorius (CC) (gyvenamieji pastatai, vieno ir dviejų butų pastatai)","Kambarių skaičius","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2021","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.",
"2021","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","3"
"2021","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","10"
"2021","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","16"
"2021","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","2"
"2020","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","72"
"2020","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","72"
"2020","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","10.3"
"2020","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","10.3"
"2020","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","64"
"2020","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","64"
"2020","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","69"
"2020","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","69"
"2020","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","24"
"2020","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","24"
"2020","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","24"
"2020","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","24"
"2020","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","3.8"
"2020","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","3.8"
"2020","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","7.1"
"2020","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","6.4"
"2020","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","51"
"2020","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
"2020","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.",
"2020","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","1"
"2020","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","24"
"2020","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","17"
"2020","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","9"
"2019","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","60"
